Name,Year,Duration,ratings,Num_of_Ratings,Genres
The Shawshank Redemption,1994,2h 22m,9.3,2900000,Drama
The Godfather,1972,2h 55m,9.2,2000000,"Crime,Drama"
The Dark Knight,2008,2h 32m,9.0,2900000,"Action,Crime,Drama"
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,2000000,"Action,Adventure,Drama"
The Godfather Part II,1974,3h 22m,9.0,1400000,"Crime,Drama"
Schindler's List,1993,3h 15m,9.0,1400000,"Biography,Drama,History"
12 Angry Men,1957,1h 36m,9.0,863000,"Crime,Drama"
12th Fail,2023,2h 27m,9.0,110000,"Biography,Drama"
Pulp Fiction,1994,2h 34m,8.9,2200000,"Crime,Drama"
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,2000000,"Action,Adventure,Drama"
Inception,2010,2h 28m,8.8,2500000,"Action,Adventure,Sci-Fi"
Forrest Gump,1994,2h 22m,8.8,2300000,"Drama,Romance"
Fight Club,1999,2h 19m,8.8,2300000,Drama
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,1800000,"Action,Adventure,Drama"
"The Good, the Bad and the Ugly",1966,2h 58m,8.8,810000,"Adventure,Western"
Interstellar,2014,2h 49m,8.7,2100000,"Adventure,Drama,Sci-Fi"
The Matrix,1999,2h 16m,8.7,2000000,"Action,Sci-Fi"
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,1400000,"Action,Adventure,Fantasy"
Goodfellas,1990,2h 25m,8.7,1300000,"Biography,Crime,Drama"
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.7,1100000,Drama
Dune: Part Two,2024,2h 46m,8.7,345000,"Action,Adventure,Drama"
Jai Bhim,2021,2h 44m,8.7,217000,"Crime,Drama,Mystery"
Se7en,1995,2h 7m,8.6,1800000,"Crime,Drama,Mystery"
The Silence of the Lambs,1991,1h 58m,8.6,1500000,"Crime,Drama,Thriller"
Saving Private Ryan,1998,2h 49m,8.6,1500000,"Drama,War"
The Green Mile,1999,3h 9m,8.6,1400000,"Crime,Drama,Fantasy"
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,1400000,"Action,Adventure,Fantasy"
Terminator 2: Judgment Day,1991,2h 17m,8.6,1200000,"Action,Adventure,Sci-Fi"
Spirited Away,2001,2h 5m,8.6,848000,"Animation,Adventure,Family"
City of God,2002,2h 10m,8.6,800000,"Crime,Drama"
Life Is Beautiful,1997,1h 56m,8.6,742000,"Comedy,Drama,Romance"
It's a Wonderful Life,1946,2h 10m,8.6,499000,"Drama,Family,Fantasy"
Spider-Man: Across the Spider-Verse,2023,2h 20m,8.6,367000,"Animation,Action,Adventure"
Seven Samurai,1954,3h 27m,8.6,366000,"Action,Drama"
Harakiri,1962,2h 13m,8.6,68000,"Action,Drama,Mystery"
Django Unchained,2012,2h 45m,8.5,1700000,"Drama,Western"
Gladiator,2000,2h 35m,8.5,1600000,"Action,Adventure,Drama"
The Prestige,2006,2h 10m,8.5,1400000,"Drama,Mystery,Sci-Fi"
The Departed,2006,2h 31m,8.5,1400000,"Crime,Drama,Thriller"
Back to the Future,1985,1h 56m,8.5,1300000,"Adventure,Comedy,Sci-Fi"
Léon: The Professional,1994,1h 50m,8.5,1200000,"Action,Crime,Drama"
American History X,1998,1h 59m,8.5,1200000,"Crime,Drama"
The Usual Suspects,1995,1h 46m,8.5,1100000,"Crime,Drama,Mystery"
The Lion King,1994,1h 28m,8.5,1100000,"Animation,Adventure,Drama"
Whiplash,2014,1h 46m,8.5,987000,"Drama,Music"
Parasite,2019,2h 12m,8.5,956000,"Drama,Thriller"
Alien,1979,1h 57m,8.5,949000,"Horror,Sci-Fi"
The Intouchables,2011,1h 52m,8.5,928000,"Comedy,Drama"
The Pianist,2002,2h 30m,8.5,910000,"Biography,Drama,Music"
Psycho,1960,1h 49m,8.5,717000,"Horror,Mystery,Thriller"
Casablanca,1942,1h 42m,8.5,605000,"Drama,Romance,War"
Rear Window,1954,1h 52m,8.5,521000,"Mystery,Thriller"
Once Upon a Time in the West,1968,2h 46m,8.5,349000,Western
Grave of the Fireflies,1988,1h 29m,8.5,310000,"Animation,Drama,War"
Cinema Paradiso,1988,2h 54m,8.5,283000,"Drama,Romance"
Modern Times,1936,1h 27m,8.5,259000,"Comedy,Drama,Romance"
City Lights,1931,1h 27m,8.5,196000,"Comedy,Drama,Romance"
The Dark Knight Rises,2012,2h 44m,8.4,1800000,"Action,Drama,Thriller"
Inglourious Basterds,2009,2h 33m,8.4,1600000,"Adventure,Drama,War"
Joker,2019,2h 2m,8.4,1500000,"Crime,Drama,Thriller"
Memento,2000,1h 53m,8.4,1300000,"Mystery,Thriller"
Avengers: Endgame,2019,3h 1m,8.4,1300000,"Action,Adventure,Drama"
WALL·E,2008,1h 38m,8.4,1200000,"Animation,Adventure,Family"
Avengers: Infinity War,2018,2h 29m,8.4,1200000,"Action,Adventure,Sci-Fi"
The Shining,1980,2h 26m,8.4,1100000,"Drama,Horror"
Raiders of the Lost Ark,1981,1h 55m,8.4,1000000,"Action,Adventure"
Aliens,1986,2h 17m,8.4,762000,"Action,Adventure,Sci-Fi"
Apocalypse Now,1979,2h 27m,8.4,709000,"Drama,Mystery,War"
Spider-Man: Into the Spider-Verse,2018,1h 57m,8.4,670000,"Animation,Action,Adventure"
Coco,2017,1h 45m,8.4,589000,"Animation,Adventure,Drama"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,8.4,517000,"Comedy,War"
3 Idiots,2009,2h 50m,8.4,434000,"Comedy,Drama"
Amadeus,1984,2h 40m,8.4,427000,"Biography,Drama,Music"
The Lives of Others,2006,2h 17m,8.4,410000,"Drama,Mystery,Thriller"
Your Name.,2016,1h 46m,8.4,319000,"Animation,Drama,Fantasy"
Das Boot,1981,2h 29m,8.4,264000,"Drama,War"
The Great Dictator,1940,2h 5m,8.4,237000,"Comedy,Drama,War"
